num_threads,nodes,serial_time,parallel_time,speedup,efficiency
2,100,313,532,0.588,29.41
2,250,1737,2045,0.849,42.46
2,500,4637,6104,0.76,37.98
2,1000,16364,11829,1.383,69.17
2,1500,39951,26071,1.532,76.62
2,2000,61308,52258,1.173,58.66
2,2500,86834,74573,1.164,58.22
2,3000,136358,112104,1.216,60.82
2,3500,175875,136469,1.289,64.44
2,4000,288808,164198,1.759,87.95
2,4500,282994,226366,1.25,62.51
2,5000,377602,316067,1.195,59.73
4,100,184,519,0.355,8.87
4,250,1299,1317,0.986,24.66
4,500,4118,6629,0.621,15.53
4,1000,15654,12241,1.279,31.97
4,1500,34721,18555,1.871,46.78
4,2000,64934,31660,2.051,51.27
4,2500,94725,58569,1.617,40.43
4,3000,147899,90288,1.638,40.95
4,3500,182735,137541,1.778,44.45
4,4000,233839,148227,1.732,43.30
4,4500,360495,249786,1.278,31.96
4,5000,371257,589020,1.735,43.37
6,100,271,551,0.492,8.21
6,250,1818,2670,0.681,11.34
6,500,7396,18243,0.405,6.76
6,1000,18422,13366,1.378,22.97
6,1500,37470,47104,0.795,13.26
6,2000,61191,64740,0.945,15.75
6,2500,97309,90918,1.07,17.84
6,3000,125225,108370,1.156,19.26
6,3500,169583,229911,0.738,12.29
6,4000,238480,478180,0.499,8.31
6,4500,343809,538534,0.638,10.64
6,5000,447093,621370,0.72,11.99
8,100,359,821,0.437,5.47
8,250,1141,2540,0.449,5.62
8,500,4532,19686,0.23,2.88
8,1000,16085,21405,0.751,9.39
8,1500,36508,207287,0.176,2.2
8,2000,63642,565421,0.113,1.41
8,2500,87560,49991,1.752,21.89
8,3000,132253,233452,0.567,7.08
8,3500,184458,201673,0.915,11.43
8,4000,234449,513474,0.457,5.71
8,4500,335813,717469,0.468,5.85
8,5000,364415,849540,0.429,5.36
10,100,242,88572,0.003,0.03
10,250,1656,318218,0.005,0.05
10,500,4821,432516,0.011,0.11
10,1000,20533,1206736,0.017,0.17
10,1500,39256,1440197,0.027,0.27
10,2000,56970,2226384,0.026,0.26
10,2500,85166,3343789,0.025,0.25
10,3000,119861,3444458,0.035,0.35
10,3500,270811,3815926,0.071,0.71
10,4000,252267,4633804,0.054,0.54
10,4500,289294,5381454,0.054,0.54
10,5000,371983,6136449,0.061,0.61
12,100,291,114505,0.003,0.02
12,250,2057,290944,0.007,0.06
12,500,4114,538294,0.008,0.06
12,1000,15353,1255813,0.012,0.1
12,1500,40279,1957656,0.021,0.17
12,2000,56753,2663396,0.021,0.18
12,2500,94832,3552401,0.027,0.22
12,3000,168274,3916351,0.043,0.36
12,3500,232337,4917833,0.047,0.39
12,4000,264284,5593287,0.047,0.39
12,4500,340070,5767882,0.059,0.49
12,5000,447334,7094044,0.063,0.53
14,100,244,153893,0.002,0.01
14,250,1165,353788,0.003,0.02
14,500,7472,875958,0.009,0.06
14,1000,15895,1392454,0.011,0.08
14,1500,34025,2431231,0.014,0.1
14,2000,73938,3003111,0.025,0.18
14,2500,174824,3628241,0.048,0.34
14,3000,184778,4515956,0.041,0.29
14,3500,208068,5209918,0.04,0.29
14,4000,312886,6667209,0.047,0.34
14,4500,312433,6983170,0.045,0.32
14,5000,381324,7994857,0.048,0.34
16,100,326,177157,0.002,0.01
16,250,1019,425756,0.002,0.01
16,500,4062,735397,0.006,0.03
16,1000,15440,1931541,0.008,0.05
16,1500,40437,2609078,0.015,0.1
16,2000,79027,3443926,0.023,0.14
16,2500,126594,4206975,0.03,0.19
16,3000,161736,5028815,0.032,0.2
16,3500,202652,6577667,0.031,0.19
16,4000,279887,7043677,0.04,0.25
16,4500,380187,8059444,0.047,0.29
16,5000,398607,8347410,0.048,0.3
