nodes, serial_time, parallel_2_threads, parallel_4_threads, parallel_6_threads, parallel_8_threads, parallel_10_threads, parallel_12_threads, parallel_14_threads, parallel_16_threads
100,278.75,532,519,551,821,88572,114505,153893,177157
250,1486.5,2045,1317,2670,2540,318218,290944,353788,425756
500,5144,6104,6629,18243,19686,432516,538294,875958,735397
1000,16718.25,11829,12241,13366,21405,1206736,1255813,1392454,1931541
1500,37830.875,26071,18555,47104,207287,1440197,1957656,2431231,2609078
2000,64720.375,52258,31660,64740,565421,2226384,2663396,3003111,3443926
2500,105980.5,74573,58569,90918,49991,3343789,3552401,3628241,4206975
3000,147048,112104,90288,108370,233452,3444458,3916351,4515956,5028815
3500,203314.875,136469,137541,229911,201673,3815926,4917833,5209918,6577667
4000,263112.5,164198,148227,478180,513474,4633804,5593287,6667209,7043677
4500,330636.875,226366,249786,538534,717469,5381454,5767882,6983170,8059444
5000,394951.875,316067,256331,621370,849540,6136449,7094044,7994857,8347410
