nodes, serial_time, parallel_2_threads, parallel_4_threads, parallel_6_threads, parallel_8_threads, parallel_10_threads, parallel_12_threads
100,8101.375,5524,4850,5197,4933,4530,4789
250,96098,72128,60067,61031,76220,59130,59461
500,660857,453702,453079,473045,480605,449018,438800
1000,6056945.125,3740558,3985568,5961869,8834878,3674094,3560849
1500,18365372.13,14399517,17742819,12200614,12075275,11607691,11766750
2000,44279757.13,39674679,37540581,33898233,26990183,27422422,26706256
2500,84987684.5,58877182,56645839,61129800,62448425,51797673,52250589
3000,144350652.6,98477652,105122367,107855124,99553162,88717177,89849372
3500,223372516.3,166578015,171531773,146886591,146233685,140677927,142651805
4000,328037448.6,318179825,269884260,218536959,209459839,210276307,208960528
4500,464740152.4,383814483,334919646,304938074,298960437,297140687,296636370
5000,632807478.9,502190992,450570337,500383844,407958673,403420175,405033370
